ID,alphaStable,alphaVolatile,beta,LL,BIC
0.0,0.14147071656969917,0.47970276890635877,0.08224088936112074,-65.72776010695269,146.68104165960685
1.0,0.11282264904284428,0.40522757138815224,0.028323746899763417,-99.32887936096691,213.8832801676353
2.0,0.062115470311007795,0.08390665926986841,0.15399480997896867,-50.556922589791256,116.33936662528399
3.0,0.1268723055608072,0.5919170031603047,0.10114104366685693,-59.746813172373926,134.71914779044934
4.0,0.1784295188674465,0.8221912068020909,0.048258611914316615,-80.4270639068158,176.07964925933308
5.0,0.08291472519492521,0.028510687044698852,0.09077500233534103,-69.92730472127087,155.08013088824322
6.0,0.09985475983191189,0.3901918860273662,0.234896778120925,-34.58601859355943,84.39755863282033
7.0,0.024672021231996927,0.05672126656025859,0.23657135519655498,-35.57502592172709,86.37557328915565
8.0,0.08411867974710929,0.6452822713930444,0.11788744111586263,-56.76539745779723,128.75631636129594
9.0,0.1331184039781867,0.6528854127590168,0.19018825660386554,-41.40458878059672,98.03469900689491
10.0,0.1603062165573603,0.4840579287632839,0.1279793612580803,-54.47706444964006,124.1796503449816
11.0,0.08123287892905474,0.17378056665233957,0.24535217856119354,-38.310538676538684,91.84659879877884
12.0,0.06489695725556338,2.2832328442359006e-07,0.13485750529925317,-55.51553349429063,126.25658843428273
13.0,0.27330425875534775,0.8108800567121857,0.17537973910839458,-43.190819501373845,101.60716044844916
14.0,0.20659162368541226,0.4579074857693779,0.10136428691207447,-62.23079352900481,139.6871085037111
15.0,0.17116723997419814,0.2564632118108744,0.10092783666229938,-64.53153286347789,144.28858717265726
16.0,0.06380133549436348,0.0681233975163363,0.16410698646889002,-47.74516319033968,110.71584782638084
17.0,0.2904908723241057,0.7698704363647008,0.1286735924370103,-51.52440952214118,118.27434048998383
18.0,0.5725196439562811,0.9930805655814835,0.041191898737931325,-85.30222737944393,185.82997620458934
19.0,0.22350444013046994,0.31945848427978546,0.16392140386433646,-49.24973980424822,113.72500105419792
20.0,0.160246610599072,0.05293883487612451,0.1032875603456519,-64.55522152699248,144.33596449968644
21.0,0.12990695252992016,0.27676765369544654,0.08369940419369001,-69.26382488797529,153.75317122165205
22.0,0.06512253364469968,0.05113220743223888,0.18023848710474238,-46.86865874966978,108.96283894504103
23.0,0.6317619431070705,0.5116448087421879,0.03757981119852239,-89.41381401039183,194.05314946648514
24.0,0.19702711101025447,0.6673281995000936,0.06744841237573092,-73.08074186352837,161.38700517275822
25.0,0.20152557883006236,0.04439794585610874,0.0756147186299689,-75.4384525231707,166.10242649204287
26.0,0.19923479596427812,1.4729664398922445e-07,0.070110642799012,-78.03294372807594,171.29140890185334
27.0,0.34443992716049876,0.016158185786810945,0.07259003797170656,-75.61656643024082,166.45865430618312
28.0,0.1369410705222449,0.2033270752735345,0.14091321139131543,-54.257829628873466,123.7411807034484
29.0,0.10640507947749976,0.9999996142525873,0.01820821666743841,-102.9512852599088,221.12809196551908
30.0,0.14513354611642457,0.010232612475935392,0.06299536915241322,-82.81159794841145,180.84871734252437
31.0,0.09992892391979961,0.4561032874160906,0.0938469587900292,-62.47276284277869,140.17104713125886
32.0,0.0774327930807452,0.024209336323123748,0.1994043178733152,-41.96215423815636,99.14982992201419
33.0,0.20558356101487754,0.016479993686644937,0.0691950276840248,-79.72480467519814,174.67513079609776
34.0,0.13789399118123266,0.10015981906343303,0.06590896962156942,-79.91088173504616,175.0472849157938
35.0,0.12113184454737538,0.4768256780206028,0.062332643549547324,-79.3767400309203,173.97900150754208
36.0,0.30475134195758147,0.6822596725210863,0.04658605732739624,-83.97059538734389,183.16671222038926
37.0,0.06088248471858562,0.002991078648215796,0.2582364573949466,-34.79730661723475,84.82013468017098
38.0,0.19265702953798242,0.42005136275054983,0.07480475161932812,-70.86714497045476,156.959811386611
39.0,0.10111172807898995,0.369713079039322,0.07060360696770211,-74.3083949628041,163.84231137130968
40.0,0.14463332155575406,0.6040808441536438,0.09744310502598495,-60.90812073565132,137.04176291700412
41.0,0.9999998850960113,0.9999998850960113,0.04525198989320871,-76.98215091936903,169.18982328443954
42.0,0.14768913450095805,0.2817431067654107,0.10643579004128506,-62.45147711127831,140.1284756682581
43.0,0.19359738497676193,0.4436810412886072,0.10525830063936775,-61.51741954217243,138.26036053004634
44.0,0.14913500836042592,0.30731218476215916,0.24002628827790884,-36.168684502828384,87.56289045135824
45.0,0.07068546557192679,0.10694146273250914,0.11517872035405474,-60.028007721333125,135.28153688836773
46.0,0.1619306333423307,0.25169854404836334,0.18183404728945468,-43.81386467929319,102.85325080428785
47.0,0.13738806564344955,0.8216346023857599,0.09466675457153945,-60.71236629817673,136.65025404205494
48.0,0.26265359629585644,0.09407392143214137,0.11451735561422068,-59.76125974223589,134.74804093017326
49.0,0.9999999967924778,2.60968485417936e-08,0.018851436981105273,-103.74561843708861,222.7167583198787
50.0,0.19614450729179303,0.23979373644878343,0.10404900899567666,-62.82941019838957,140.8843418424806
51.0,0.1003318308434696,0.0736955866695895,0.15366609388376654,-50.491171893819605,116.20786523334068
52.0,0.1651576792193967,0.010098228204639619,0.13308001371614636,-55.06188111418124,125.34928367406395
53.0,0.061723188439391084,0.0053528773360557586,0.12227818532978144,-58.69114948544523,132.60782041659195
54.0,0.22996196306929173,0.13736507831725167,0.07311113297217875,-75.3118239540761,165.84916935385368
55.0,0.004601651962666063,1.2826417961576443e-08,0.06739237406211943,-83.35235629464597,181.93023403499342
56.0,0.6654820469740037,0.029151771148823242,0.08633541382875641,-65.1173627400834,145.46024692586826
57.0,0.11352198597251233,0.9548810109584298,0.01930719772993833,-102.36709243668597,219.9597063190734
58.0,0.49717010285024443,0.7411798334585572,0.03280519328651619,-94.04595668283221,203.3174348113659
59.0,0.09643692481804554,0.13107493219603208,0.36049353467672995,-27.765039385954246,70.75560021760997
60.0,0.034413857096684965,0.030849266982524413,0.09894077125672845,-66.54750786711318,148.32053717992784
61.0,0.164788535977102,0.5496525934438554,0.10312369789939645,-62.0050489300327,139.23561930576687
62.0,0.14882817069087836,0.29079967575007765,0.15479630380025142,-51.91497780310755,119.05547705191657
63.0,0.16276302917533939,0.08884569633716258,0.1280053619188423,-56.98385230621975,129.193226058141
64.0,0.13345184737573035,0.0012122702703913572,0.07043344712374154,-79.0445856490807,173.31469274386288
65.0,0.1467906662722057,0.17671101252388235,0.16667838665424253,-47.624404201381765,110.474329848465
66.0,0.2056471555402448,0.46335569764075896,0.07591148684773405,-70.34291845460618,155.91135835491383
67.0,0.09160812501491197,0.27051226373309945,0.22465289095784802,-39.697436841224814,94.6203951281511
68.0,0.09823061047966888,0.08397478138567972,0.2574859952724056,-34.90445923222038,85.03443991014224
69.0,0.6068706889531751,0.703460894045491,0.04556445254962906,-81.23314676038464,177.69181496647076
70.0,0.18355923399598692,0.18533489459931532,0.23364885193900872,-40.49310870077242,96.21173884724631
71.0,0.11804334051498958,0.02833608860381342,0.12137640616361899,-58.35382174079102,131.9331649272835
72.0,0.16472166941263533,0.2976838244930211,0.07206467039911187,-74.94916526229447,165.12385197029042
73.0,0.178221307364451,0.6942852917493065,0.10907012798213359,-57.12368441946185,129.47289028462518
74.0,0.16060169733392848,0.5155340932034531,0.09851227397381258,-63.50365946879711,142.2328403832957
